DD/MM/YYYY,latest,open,max,min,volume,% change,,,,,,,,,,,,,
5/09/2022,4.08,4.06,4.12,4.06,3.73M,0.00%,,,,,,,,,,,,,
2/09/2022,4.08,4.08,4.12,4.06,9.21M,0.00%,,,,,,,,,,,,,
1/09/2022,4.08,4.14,4.18,4.08,20.36M,-2.39%,,,,,,,,,,,,,
31/08/2022,4.18,4.08,4.18,4.06,31.17M,2.45%,,,,,,,,,,,,,
30/08/2022,4.08,4.06,4.14,4.06,24.00M,0.00%,,,,,,,,,,,,,
29/08/2022,4.08,4.02,4.1,4,28.25M,0.99%,,,,,,,,,,,,,
26/08/2022,4.04,4.08,4.1,4.02,20.36M,-1.46%,,,,,,,,,,,,,
25/08/2022,4.1,4.12,4.18,4.1,11.65M,-0.49%,,,,,,,,,,,,,
24/08/2022,4.12,4.08,4.18,4.06,30.76M,1.98%,,,,,,,,,,,,,
23/08/2022,4.04,4,4.06,3.96,43.54M,1.00%,,,,,,,,,,,,,
22/08/2022,4,4.08,4.1,3.98,37.55M,-2.44%,,,,,,,,,,,,,
19/08/2022,4.1,4.16,4.18,4.06,33.89M,-1.44%,,,,,,,,,,,,,
18/08/2022,4.16,4.2,4.28,4.14,40.60M,-0.48%,,,,,,,,,,,,,
17/08/2022,4.18,4.22,4.24,4.16,16.65M,-0.48%,,,,,,,,,,,,,
16/08/2022,4.2,4.28,4.32,4.2,10.70M,-1.41%,,,,,,,,,,,,,
15/08/2022,4.26,4.3,4.34,4.26,9.51M,-0.93%,,,,,,,,,,,,,
11/08/2022,4.3,4.32,4.36,4.28,6.51M,0.00%,,,,,,,,,,,,,
10/08/2022,4.3,4.32,4.4,4.28,10.83M,-0.92%,,,,,,,,,,,,,
9/08/2022,4.34,4.34,4.44,4.32,15.52M,0.00%,,,,,,,,,,,,,
8/08/2022,4.34,4.26,4.36,4.24,9.61M,1.88%,,,,,,,,,,,,,
5/08/2022,4.26,4.34,4.4,4.24,15.13M,-1.84%,,,,,,,,,,,,,
4/08/2022,4.34,4.38,4.4,4.34,6.01M,-0.46%,,,,,,,,,,,,,
3/08/2022,4.36,4.38,4.44,4.34,7.33M,-0.91%,,,,,,,,,,,,,
2/08/2022,4.4,4.4,4.44,4.32,19.13M,-1.79%,,,,,,,,,,,,,
1/08/2022,4.48,4.36,4.52,4.32,64.88M,3.70%,,,,,,,,,,,,,
27/07/2022,4.32,4.36,4.38,4.3,11.96M,0.00%,,,,,,,,,,,,,
26/07/2022,4.32,4.34,4.4,4.28,16.23M,0.93%,,,,,,,,,,,,,
25/07/2022,4.28,4.18,4.3,4.18,9.92M,1.90%,,,,,,,,,,,,,
22/07/2022,4.2,4.18,4.22,4.14,6.24M,0.48%,,,,,,,,,,,,,
21/07/2022,4.18,4.14,4.2,4.1,7.28M,1.46%,,,,,,,,,,,,,
20/07/2022,4.12,4.18,4.2,4.1,12.48M,-0.96%,,,,,,,,,,,,,
19/07/2022,4.16,4.16,4.18,4.1,5.39M,-0.95%,,,,,,,,,,,,,
18/07/2022,4.2,4.02,4.2,4,14.48M,5.00%,,,,,,,,,,,,,
15/07/2022,4,4.12,4.14,3.9,27.70M,-2.44%,,,,,,,,,,,,,
14/07/2022,4.1,4.08,4.18,4.08,8.77M,0.49%,,,,,,,,,,,,,
12/07/2022,4.08,4.14,4.2,4.08,11.60M,-1.92%,,,,,,,,,,,,,
11/07/2022,4.16,4.14,4.18,4.1,3.31M,0.00%,,,,,,,,,,,,,
8/07/2022,4.16,4.22,4.22,4.16,4.83M,-1.42%,,,,,,,,,,,,,
7/07/2022,4.22,4.22,4.24,4.16,6.37M,0.48%,,,,,,,,,,,,,
6/07/2022,4.2,4.08,4.2,4.06,9.30M,2.44%,,,,,,,,,,,,,
5/07/2022,4.1,4.2,4.22,4.08,29.80M,-2.38%,,,,,,,,,,,,,
4/07/2022,4.2,4.26,4.28,4.18,13.26M,-1.41%,,,,,,,,,,,,,
1/07/2022,4.26,4.32,4.34,4.24,9.51M,-1.39%,,,,,,,,,,,,,
30/06/2022,4.32,4.34,4.36,4.28,10.94M,-0.46%,,,,,,,,,,,,,
29/06/2022,4.34,4.38,4.38,4.32,8.79M,-0.91%,,,,,,,,,,,,,
28/06/2022,4.38,4.4,4.42,4.34,6.16M,-0.45%,,,,,,,,,,,,,
27/06/2022,4.4,4.34,4.42,4.34,14.75M,1.85%,,,,,,,,,,,,,
24/06/2022,4.32,4.34,4.36,4.28,8.95M,0.47%,,,,,,,,,,,,,
23/06/2022,4.3,4.32,4.36,4.28,8.97M,0.00%,,,,,,,,,,,,,
22/06/2022,4.3,4.42,4.42,4.26,15.38M,-2.71%,,,,,,,,,,,,,
21/06/2022,4.42,4.34,4.46,4.32,23.14M,1.84%,,,,,,,,,,,,,
20/06/2022,4.34,4.44,4.44,4.32,9.36M,-2.69%,,,,,,,,,,,,,
17/06/2022,4.46,4.4,4.46,4.34,16.90M,1.83%,,,,,,,,,,,,,
16/06/2022,4.38,4.56,4.56,4.38,27.05M,-3.10%,,,,,,,,,,,,,
15/06/2022,4.52,4.54,4.58,4.48,11.96M,0.00%,,,,,,,,,,,,,
14/06/2022,4.52,4.56,4.58,4.5,7.71M,-0.44%,,,,,,,,,,,,,
13/06/2022,4.54,4.58,4.64,4.54,26.53M,-2.58%,,,,,,,,,,,,,
